control_id,gap_status,gap_title,gap_description,recommendation,application
APD-06,informal process,Informal Periodic Admin Activity Log Reviews,"Management occasionally reviews administrator activity logs within the system on an ad-hoc basis, but lacks a formalized, consistent process for these reviews. While some administrator activity monitoring occurs, it is performed without standardized templates, documented procedures, or consistent scheduling, making it harder to ensure completeness. The current informal approach to log review lacks clear definition of which specific administrative actions should be monitored and lacks formal documentation of the review process and findings. Evidence collection is somewhat limited and inconsistent, creating challenges in demonstrating the effectiveness of monitoring activities during audit examinations. Investigation and remediation of identified issues occurs on an ad-hoc basis without formal tracking, defined timeframes for resolution, or documentation requirements.","For the system(s) listed in column E, perform the following steps: 1. Establish a formal process for the periodic review of the system administrator activity logs. We recommend performing these reviews monthly; however, the frequency can be adjusted (e.g., quarterly) based on risk factors such as the volume of administrator activity or system criticality. 2. Create review templates to document these periodic admin activity reviews, including assessments of inappropriate actions. 3. Determine which specific admin activities should be monitored (e.g., configuration changes, direct data modifications, user access changes). 4. Generate admin activity logs, including all active admins and their activities within the review period. 5. Implement formal IPE procedures, involving the documentation of report generation / query evidence. 6. Ensure that these reviews include secondary reviews to independently evaluate the primary reviewer's activities. 7. Formalize remediation / lookback procedures and define timeframes for the implementation of access changes. ",
APD-07,gap,Absence of Annual Authentication Configuration Reviews,"Management does not currently perform annual reviews of authentication configurations, including password settings for non-SSO systems and SSO integration configurations for SSO-enabled applications. There isn't a formalized process to verify that these authentication configurations align with the organization's security standards and that no unauthorized changes have occurred. Without regular reviews, there is less assurance that password settings and SSO configurations maintain compliance with the company's security policies over time, potentially leading to weakened security controls. There isn't a formal IT authentication policy documented and maintained by Company Management that addresses both password requirements and SSO implementation standards.","For the system(s) listed in column E, perform the following steps: 1. Create a formal Company IT Authentication Policy document that addresses password setting standards for SOX applications that will be reviewed and approved annually. 2. Establish a formal process for the annual review of password settings, including the creation of a review template to document the review. 3. For systems not subject to single sign-on, review specific settings including: minimum character length, complexity requirements, lockout policies, password history, and multi-factor authentication settings. 4 . For systems subject to single sign-on, review specific settings including: minimum character length, complexity requirements, lockout policies, password history, and multi-factor authentication settings. Additionally, include configuration screenshots showing the applications subject to single sign-on. 5. Document system screenshots of all current authentication configurations. All screenshots should show the date / time and any email communication with vendors to obtain settings should be included in the review documentation. 6. Define procedures for the handling of settings that don't adhere to the authentication policy but cannot be modified by Company as part of the security policy.",
APD-07,informal process,Informal Annual Authentication Configuration Reviews,"Management occasionally checks authentication configurations, including password settings for non-SSO systems and SSO integration configurations for SSO-enabled applications, but lacks a formalized, documented periodic review process with consistent scheduling and methodology. While some verification of password and SSO settings occurs, it is performed without standardized templates, consistent documentation, or reference to a formal IT authentication policy. The current informal approach relies more on individual knowledge than established procedures, creating potential inconsistency in review scope and thoroughness across different authentication methods. Evidence collection is limited and lacks standardization, making it more challenging to demonstrate that authentication configurations maintain compliance with security standards over time. The company has some general authentication guidelines, but lacks a comprehensive, formally documented IT authentication policy that would provide clear standards for both password and SSO configuration reviews.","For the system(s) listed in column E, perform the following steps: 1. Create a formal Company IT Authentication Policy document that addresses password setting standards for SOX applications that will be reviewed and approved annually. 2. Establish a formal process for the annual review of password settings, including the creation of a review template to document the review. 3. For systems not subject to single sign-on, review specific settings including: minimum character length, complexity requirements, lockout policies, password history, and multi-factor authentication settings. 4 . For systems subject to single sign-on, review specific settings including: minimum character length, complexity requirements, lockout policies, password history, and multi-factor authentication settings. Additionally, include configuration screenshots showing the applications subject to single sign-on. 5. Document system screenshots of all current authentication configurations. All screenshots should show the date / time and any email communication with vendors to obtain settings should be included in the review documentation. 6. Define procedures for the handling of settings that don't adhere to the authentication policy but cannot be modified by Company as part of the security policy.",
CM-01,gap,Absence of Formal Change Management Processes,"Management lacks a formal, documented change management process for financially relevant system changes, leading to primarily ad-hoc modifications without consistent oversight, testing, or approval. There isn't a standardized request process or ticketing system to document and track changes before they are implemented in the production environment. Financially relevant changes are sometimes made directly in the production environment without prior testing in a non-production environment, increasing the risk of unintended consequences that could impact financial data integrity. Management does not consistently maintain evidence of testing or formal approvals prior to implementing changes, hindering the validation that changes function as intended and are appropriately authorized. Segregation of duties is not consistently enforced between developing, testing, approving, and deploying changes.","For the system(s) listed in column E, perform the following steps: 1. Develop a formal change management policy outlining the process for requesting, approving, testing, and deploying financially relevant system changes. 2. Implement a standardized change request process using a ticketing system to formally document all proposed changes, approvals, and testing evidence. 3. Where possible, establish and utilize a non-production environment for testing system changes prior to deployment in production. 4. Define appropriate testing requirements and standards to validate that changes function as intended before deployment. 5. Implement a formal approval workflow requiring documented sign-off from relevant stakeholders (e.g., business owner, IT management) at key stages (request, testing completion, pre-deployment). 6. Ensure segregation of duties by preventing individuals from developing, testing, approving, and deploying their own changes without independent review and authorization. Ideally, deployment to production should be performed by someone other than the developer. 7. Maintain comprehensive documentation of all change requests, test results, approvals, and implementations for audit purposes.",
CM-01,informal process,Informal Change Management Processes,"Management follows an informal, often undocumented change management process for financially relevant system changes, relying primarily on email communications and verbal approvals rather than a structured workflow. While some change requests may be documented, there is no standardized process or centralized tracking system to ensure consistency and completeness in how changes are requested, approved, tested, and implemented. Limited testing of changes may occur, but it is conducted inconsistently and without formal testing procedures, documentation standards, or consistent use of a non-production environment to fully validate changes. Approval for changes is often obtained informally, sometimes through email or verbal confirmation, but lacks a structured workflow with clearly defined roles, responsibilities, and formal sign-offs before production deployment. Segregation of duties between developing, testing, approving, and deploying changes is not formally enforced. Documentation of changes is maintained inconsistently, making it more difficult to establish a complete audit trail of modifications to the production environment.","For the system(s) listed in column E, perform the following steps: 1. Formalize the existing change management approach into a documented policy covering financially relevant system changes. 2. Implement a standardized change request process using a ticketing system to formally document all changes, approvals, and testing evidence. 3. Consistently utilize a non-production environment (where available) for testing system changes prior to deployment in production. 4. Define and enforce appropriate testing requirements and standards to validate that changes function as intended before deployment. 5. Implement a formal approval workflow requiring documented sign-off from relevant stakeholders at key stages (request, testing completion, pre-deployment). 6. Formally define and enforce segregation of duties, preventing individuals from developing, testing, approving, and deploying their own changes without independent review. Ensure final deployment approval/migration is handled separately from development where possible. 7. Standardize and maintain comprehensive documentation of all change requests, test results, approvals, and implementations for audit purposes.",
CM-02,gap,Absence of Separate Environment,"Management does not currently have a separate pre-production environment established for the system, which limits the ability to properly test changes before implementing them in the production environment. Configuration changes, workflow modifications, and approval routing updates are often made directly in the production environment without prior testing in a separate instance. The absence of a separate pre-production environment increases the risk of unintended consequences when making changes, potentially affecting financial data integrity and system functionality. Without a separate testing environment, it is challenging to validate that changes will function as intended before they impact end users and business operations.","For the system(s) listed in column E, perform the following steps: 1. Collaborate with the vendor to establish a separate pre-production environment for testing purposes. 2. Document the configuration and setup of the pre-production environment to ensure it appropriately mirrors the production environment. 3. Develop procedures to ensure that all significant changes are first implemented and tested in the pre-production environment before deployment to production. 4. Establish a process for refreshing the pre-production environment regularly to maintain alignment with the production environment. 5. Implement change management procedures that require documented testing in the pre-production environment before changes can be approved for production deployment. 6. Train relevant personnel on the proper use of the pre-production environment for testing purposes.",
CM-02,informal process,Underutilized Separate Environment,"Management has established a separate pre-production environment for the system, but it is not consistently utilized for testing changes before implementing them in the production environment. The pre-production environment exists but is infrequently used, with many configuration changes, workflow modifications, and approval routing updates still being made directly in the production environment. The pre-production environment may not be regularly refreshed to mirror the production environment, which can diminish its value as a testing platform since it might not accurately reflect current production configurations. Without consistent utilization of the existing pre-production environment, the organization cannot effectively validate that changes will function as intended before they impact end users and business operations, creating unnecessary risk to financial data integrity and system functionality.","For the system(s) listed in column E, perform the following steps: 1. Develop formal procedures requiring the use of the existing pre-production environment for testing all significant changes before deployment to production. 2. Establish a regular schedule to refresh the pre-production environment to ensure it accurately reflects the current production configuration. 3. Document the configuration and setup of the pre-production environment to confirm it appropriately mirrors the production environment. 4. Update change management procedures to require documented testing in the pre-production environment before changes can be approved for production deployment. 5. Implement monitoring to ensure compliance with the requirement to use the pre-production environment for testing. 6. Train relevant personnel on the proper use of the pre-production environment for testing purposes.",
CM-03,gap,Absence of Periodic Change Review Process,"Management does not currently perform periodic reviews of changes deployed to the system's production environment, creating a risk that unauthorized or untested modifications may go undetected. Without a periodic review process, management cannot easily verify that all changes were properly requested, tested, and approved prior to implementation in the production environment. The organization lacks a formalized escalation and resolution procedure to address unauthorized changes that might be identified during reviews, potentially allowing improper changes to remain in the production environment.","For the system(s) listed in column E, perform the following steps: 1. Establish a formal periodic review process to validate all changes deployed to the system's production environment. We recommend performing this review monthly; however, the frequency can be adjusted (e.g., quarterly) based on the volume and criticality of changes. 2. Create review templates to document these periodic change reviews, including assessments of unauthorized changes. 3. Determine which change types should be monitored (the following should be included for the system: configuration, workflow, integration, bundle audit trail, and script changes). 4. Generate the respective change logs, including users who made each change, change date, change type. etc. 5. Implement formal IPE procedures, involving the documentation of report generation / query evidence. 6. Ensure that these reviews include secondary reviews to independently evaluate the primary reviewer's changes. 7. Formalize remediation / lookback procedures. ",
CM-03,informal process,Informal Periodic Change Review Process,"Management occasionally reviews changes deployed to the system's production environment, but lacks a formalized, documented periodic review process with consistent scheduling and methodology. While some monitoring of deployed changes occurs, it is performed without standardized templates, consistent coverage of all relevant change types, or formal documentation requirements. The current informal approach relies more on individual knowledge than established procedures, potentially creating inconsistency in review scope and thoroughness. Evidence collection is somewhat limited and lacks standardization, making it more challenging to demonstrate the effectiveness and completeness of reviews during audit examinations. The organization has an inconsistent approach to addressing unauthorized changes when identified, without formal escalation procedures or documentation requirements for resolution activities.","For the system(s) listed in column E, perform the following steps: 1. Establish a formal periodic review process to validate all changes deployed to the system's production environment. We recommend performing this review monthly; however, the frequency can be adjusted (e.g., quarterly) based on the volume and criticality of changes. 2. Create review templates to document these periodic change reviews, including assessments of unauthorized changes. 3. Determine which change types should be monitored (the following should be included for the system: configuration, workflow, integration, bundle audit trail, and script changes). 4. Generate the respective change logs, including users who made each change, change date, change type. etc. 5. Implement formal IPE procedures, involving the documentation of report generation / query evidence. 6. Ensure that these reviews include secondary reviews to independently evaluate the primary reviewer's changes. 7. Formalize remediation / lookback procedures. ",
CM-04,gap,Absence of Vendor Change Management Process,"Management has not established a formal process to document, test, and approve critical releases, patches, or upgrades from the vendor (SaaS provider) before they are implemented in the production environment. There isn't a ticketing system or other formal documentation method used to track vendor-initiated changes to the system, resulting in reduced visibility into system modifications. Management does not typically perform testing of vendor updates in a non-production environment prior to implementation, increasing the risk that changes could negatively impact financial data integrity or system functionality. The organization has not implemented an approval workflow requiring business owner sign-off for vendor-initiated changes before they are deployed to the production environment.","For the system(s) listed in column E, perform the following steps: 1. Develop a formal vendor change management policy specific to system updates, patches, and releases. 2. Implement a ticketing system to document all vendor-initiated changes, including release notes, impact, and change timeline. 3. Request a sandbox or test environment from the vendor to evaluate updates prior to migration to the production environment. 4. Develop testing procedures to validate that vendor changes function as intended. 5. Implement a formal approval process requiring business owner sign-off before vendor changes are deployed to production. 6. Maintain documentation of all vendor change notifications, testing results, approvals, and implementations. 7. Establish a post-implementation verification process to confirm vendor changes were successfully deployed without issue. 8. Create a communication process to notify end users about significant vendor updates and any potential impacts.",
CM-04,informal process,Informal Vendor Change Management Process,"Management has an informal approach to handling system (SaaS provider) updates, patches, and releases, primarily relying on vendor notifications without a structured process for documentation and review. While vendor change notifications are received, they are not consistently documented in a ticketing system or centralized repository, creating challenges in tracking system modifications over time. Limited testing of vendor updates may occur on an ad-hoc basis, but lacks formal testing procedures and documentation standards to fully validate that changes will function as intended in the production environment. Approval for vendor changes is often obtained informally, perhaps through email or verbal confirmation, but lacks a structured workflow with clearly defined roles and responsibilities for authorization. The organization has some awareness of upcoming vendor changes but lacks a comprehensive approach to managing and documenting the entire vendor change lifecycle from notification to post-implementation review.","For the system(s) listed in column E, perform the following steps: 1. Develop a formal vendor change management policy specific to system updates, patches, and releases. 2. Implement a ticketing system to document all vendor-initiated changes, including release notes, impact, and change timeline. 3. Request a sandbox or test environment from the vendor to evaluate updates prior to migration to the production environment. 4. Develop testing procedures to validate that vendor changes function as intended. 5. Implement a formal approval process requiring business owner sign-off before vendor changes are deployed to production. 6. Maintain documentation of all vendor change notifications, testing results, approvals, and implementations. 7. Establish a post-implementation verification process to confirm vendor changes were successfully deployed without issue. 8. Create a communication process to notify end users about significant vendor updates and any potential impacts.",
MO-01,gap,Absence of Scheduled Job / Integration Failure Monitoring,"No formal monitoring of jobs/integrations is performed to ensure timely detection and resolution of failures. There isn't a formalized ticketing or documentation process to track job failures, investigations, and resolutions. The process lacks defined timelines and escalation procedures for addressing failures, which could result in delayed identification and resolution of issues affecting financial data.","For the system(s) listed in column E, perform the following steps: 1. Implement a formal procedure for monitoring the system integration job, including specific roles and responsibilities. 2. Configure automated email notifications / alerts to be sent to appropriate IT personnel immediately upon failure detection. 3. Establish a formal ticketing process to log all job failures, including failure details and investigation / resolution steps. 4. Define specific timeframes for addressing and resolving job failures based on severity and impact to financial reporting. 5. Consider leveraging a monitoring tool that provides real-time visibility into the status of the system integration job. 6. Maintain documentation of all job failures, including notification, investigation, and resolution for audit purposes. 7. Establish formal escalation procedures for instances when job failures cannot be resolved within defined timeframes.",
MO-01,informal process,Informal Scheduled Job / Integration Failure Monitoring,"Informal monitoring of jobs/integrations is performed to ensure timely detection and resolution of failures. There isn't a formalized ticketing or documentation process to track job failures, investigations, and resolutions. The process lacks defined timelines and escalation procedures for addressing failures, which could result in delayed identification and resolution of issues affecting financial data.","For the system(s) listed in column E, perform the following steps: 1. Implement a formal procedure for monitoring the system integration job, including specific roles and responsibilities. 2. Configure automated email notifications / alerts to be sent to appropriate IT personnel immediately upon failure detection. 3. Establish a formal ticketing process to log all job failures, including failure details and investigation / resolution steps. 4. Define specific timeframes for addressing and resolving job failures based on severity and impact to financial reporting. 5. Consider leveraging a monitoring tool that provides real-time visibility into the status of the system integration job. 6. Maintain documentation of all job failures, including notification, investigation, and resolution for audit purposes. 7. Establish formal escalation procedures for instances when job failures cannot be resolved within defined timeframes.",
MO-02,informal process,Inadequate Data Backup Process,"While Management performs some data backups for the system, the process lacks formalization and consistency in execution. Backups may be performed on an ad-hoc basis rather than consistently following the backup schedule. There isn't a structured process for reviewing backup logs to ensure successful completion, with reviews occurring inconsistently rather than on the required weekly cadence. Failed backups might be noted but are not consistently documented in a formal ticketing system, creating potential gaps in the audit trail and possibly allowing backup failures to go unaddressed. The organization could benefit from clearer roles and responsibilities for backup management, which would enhance oversight and accountability for this data protection control.","For the system(s) listed in column E, perform the following steps: 1. Establish a formal backup policy that clearly defines daily incremental and weekly full backup requirements for the system. 2. Implement automated backup scheduling to ensure consistent execution according to the defined schedule. 3. Develop a standardized process for reviewing backup logs periodically (we recommend weekly). 4. Create backup log review templates to document the completion and results of each periodic review. 5. Implement a formal ticketing process to document all backup failures, including failure details and resolution steps. 6. Define specific timeframes for addressing and resolving backup failures based on criticality. 7. Consider implementing automated monitoring tools that provide real-time alerts for backup failures.",
MO-02,gap,Absence of Data Backup Process,"Management does not currently maintain a formal backup process for the system, with no consistent back up schedule. There isn't a defined backup strategy or documented procedures for creating and maintaining data backups of this financially significant system. The organization has not assigned specific responsibility for backup management to any particular IT Personnel, resulting in limited oversight for this data protection function. No process exists for regularly reviewing backup logs or documenting backup failures, increasing the risk that data loss could occur without timely detection or mitigation. The absence of a robust backup system creates risk to business continuity and data integrity in the event of system failure, data corruption, or other disruptive events.","For the system(s) listed in column E, perform the following steps: 1. Establish a formal backup policy that clearly defines daily incremental and weekly full backup requirements for the system. 2. Implement a backup solution capable of performing the required backup schedule and retention requirements. 3. Designate specific administrators responsible for backup management and oversight. 4. Develop and document standardized procedures for executing and verifying backups. 5. Implement a formal process for periodic review of backup logs by the designated IT Personnel (we recommend weekly). 6. Create a ticketing system to document and track the resolution of any backup failures. 7. Consider implementing automated monitoring tools that provide real-time alerts for backup failures. 8. Train relevant personnel on backup procedures and response protocols for backup failures.",
