control_id,short_name,description,key_control,control_type,nature,frequency,scoping_headers,evaluation_criteria,risk_id,risk_description
APD-04,Quarterly User Access Recertification,"Quarterly, [INSERT SYSTEM NAME] administrators perform a user recertification of all users with access to [INSERT SYSTEM NAME]. The list of active users is reviewed to verify that existing access rights are appropriate.Any inappropriate access is corrected, and the activity of users with inappropriateaccess is researched and resolved appropriately.",TRUE,IT-dependent manual,Detective,Quarterly,User Access Review,"Must start with'Yes;'","R-IT-02","There is a risk of non-required access to systems being granted to users, resulting in unauthorized activity like the use, disclosure, modification or loss of financial transactions or data. This may impact the integrity of financial reporting."
APD-05,Shared Account Inventory and Access Review,"Annually, the [INSERT ADMIN] performs a review all shared/generic accounts within [INSERT SYSTEM]. For each account, the review validates: (1) credentials are properly stored, (2) users with access to these credentials are appropriate based on business need, and (3) credential storage methods meet security requirements. Any identified issues  are documented and remediated within 5 business days.",TRUE,IT-dependent manual,Detective,Annually,"System Accounts; System Account Credential Access","Shared/generic account credential usage was described.","R-IT-02","There is a risk of non-required access to systems being granted to users, resulting in unauthorized activity like the use, disclosure, modification or loss of financial transactions or data. This may impact the integrity of financial reporting."
APD-06,Monthly Admin Activity Review,"Monthly, [INSERT SYSTEM NAME] logs of administrative actions are generated. The [INSERT ADMIN] reviews the logs against open support tickets to ensure that all administrative activities have appropriate authorization. Inappropriate activity is investigated andany remediation actions taken where necessary.",TRUE,IT-dependent manual,Detective,Monthly,Admin Activity Review,"Must start with'Yes;'","R-IT-03","There is a risk of system controls override caused by privileged users having the ability to perform privileged activity, which may include password resets, changes to database schemas and directly modifying financial transactions. This may impact the integrity of financial reporting."
APD-07,Annual Authentication Configuration Review,"Annually, management reviews SSO configurations and application password settingsto determine whether they align with company policy. Identified configuration gapsare documented and remediated in accordance with policy requirements.",TRUE,IT-dependent manual,Detective,Annually,Authentication Configuration Review,"Must start with'Yes;'","R-IT-04","There is a risk of system access gained by a user due to weak password policy resulting in the unauthorized activity being executed like use, disclosure, modification, damage to or loss of financial transactions or data. This may impact the integrity of financial reporting."
CM-01,Change Testing & Approval,"Changes to [INSERT SYSTEM NAME] production environment are authorized by management, tested in an environment other than production, and approved before deployment.",TRUE,Manual,Preventative,Ad-Hoc,Change Management Process,"Formal change approval process was described.","R-IT-05","There is a risk of unauthorized code changes or changes without appropriate approval being made in the production environment of the information systems. There is also a risk of changes operating in ways other than those that were intended caused by changes not following appropriate testing plans. This may impact the functionality of financial systems and the controls."
CM-02,Separate Environments,"Dedicated non-production environments are maintained for developing and testing changes to [INSERT SYSTEM NAME] before migrating them to production.",TRUE,IT-dependent manual,Preventative,Ad-Hoc,Separate Environments,"Various change environments were listed.","R-IT-06","There is a risk of erroneous or fraudulent change being introduced without detection caused by financial reporting systems not being appropriately secure to prevent a single individual from developing a change and then promoting that change without being detected, or not appropriately secure to prevent individuals promoting unauthorized changes into the production environment. This may impact the integrity of financial reporting."
CM-03,Quarterly Change Review 1,"Quarterly, [INSERT ADMIN] reviews the [INSERT SYSTEM NAME] audit trail to analyze all changes deployed to production and validate whether each change was appropriately tested, approved, and segregation of duties maintained. Unauthorized changes are investigated, and remediated.",TRUE,IT-dependent manual,Detective,Quarterly,Change Review Process,"Must start with'Yes;'","R-IT-05","There is a risk of unauthorized code changes or changes without appropriate approval being made in the production environment of the information systems. There is also a risk of changes operating in ways other than those that were intended caused by changes not following appropriate testing plans. This may impact the functionality of financial systems and the controls."
CM-03,Quarterly Change Review 2,"Quarterly, [INSERT ADMIN] reviews all [INSERT SYSTEM NAME} changes deployed to production for appropriateness by identifying the associated ticket, ensuring the change was tested and approved, and confirming the change was developed and deployed by different individuals.Inappropriate changes are investigated and any remediation actions taken where necessary.",TRUE,IT-dependent manual,Detective,Quarterly,Change Review Process,"Must start with'Yes;'","R-IT-05","There is a risk of unauthorized code changes or changes without appropriate approval being made in the production environment of the information systems. There is also a risk of changes operating in ways other than those that were intended caused by changes not following appropriate testing plans. This may impact the functionality of financial systems and the controls."
CM-04,Developer Segregation of Duties,"Access to deploy changes to the [INSERT SYSTEM NAME] production environment is restricted to users without development rights.",TRUE,Automated,Preventative,Automated,"Segregation of Duties; Change Access","Client explicitly confirmed that users cannot both develop and migrate changes to production","R-IT-05","There is a risk of unauthorized code changes or changes without appropriate approval being made in the production environment of the information systems. There is also a risk of changes operating in ways other than those that were intended caused by changes not following appropriate testing plans. This may impact the functionality of financial systems and the controls."
CM-05,Emergency Changes,"Emergency changes to [INSERT SYSTEM NAME] production environment are documented prior to implementationand are reviewed and approved by management within 2 days of implementation.",TRUE,Manual,Preventative,Ad-Hoc,Change Management Process,"Formal change approval process was described.","R-IT-05","There is a risk of unauthorized code changes or changes without appropriate approval being made in the production environment of the information systems. There is also a risk of changes operating in ways other than those that were intended caused by changes not following appropriate testing plans. This may impact the functionality of financial systems and the controls."
MO-01,Integration Monitoring,"Financially significant [INSERT SYSTEM NAME] integrationsare monitored for failures. Integration failures alert the [INSERT SYSTEM NAME] and relevant IT teams via automated notifications. Failures are logged in a ticket, investigated, and resolved in a timely manner in accordance with SLA requirements.",TRUE,IT-dependent manual,Preventative,Ad-Hoc,"Job Management Tools; Job Failure Resolution","Tools for monitoring jobs were listed and a process for resolving job failures was described.","R-IT-07","There is a risk of potentially material discrepancies between financial systems caused by failures related to batch processing jobs and interfaces that impact financially significant systems not being monitored, investigated and resolved in a timely manner. This may impact the integrity of financial reporting."
MO-01,Job Failure Review,"Daily, the [INSERT SYSTEM] administrators perform a review over all [INSERT SYSTEM NAME] scheduled job errors. Failures are investigated and corrective actions are taken to resolve errors and prevent recurrence and documented in an issue ticket.",TRUE,IT-dependent manual,Detective,Daily,"Job Management Tools; Job Failure Resolution","Periodic review of job failures was described.","R-IT-07","There is a risk of potentially material discrepancies between financial systems caused by failures related to batch processing jobs and interfaces that impact financially significant systems not being monitored, investigated and resolved in a timely manner. This may impact the integrity of financial reporting."
MO-01,Job Monitoring & Alerts,"A job monitoring solution is configured to monitor all critical automated jobs in [INSERT SYSTEM NAME]. Any job failure generates an alert to the[INSERT ADMIN], who logs the event in a ticket along with a root cause analysisand details on any corrective action performed to remediate the job failure.",TRUE,IT-dependent manual,Preventative,Ad Hoc,"Job Management Tools; Job Failure Resolution","Monitoring tool and job failure resolution process described.","R-IT-07","There is a risk of potentially material discrepancies between financial systems caused by failures related to batch processing jobs and interfaces that impact financially significant systems not being monitored, investigated and resolved in a timely manner. This may impact the integrity of financial reporting."
MO-02,Data Backups,"As a SaaS solution, [INSERT SYSTEM NAME] is responsible for all system and data backups. Management relies on [INSERT SYSTEM NAME]'s SOC 1 Type 2 report to gain assurance over [INSERT SYSTEM NAME]'s backup controls and related monitoring.",FALSE,IT-dependent manual,Preventative,Ad-Hoc,"Backup Frequency; Backup Types; Backup Failure Resolution","Client confirms that the system is SaaS","R-IT-08","There is a risk that inadequate or failed data backup processes may result in data loss or corruption during incidents such as system failures or disasters. Due to the critical nature and extensive reliance on technology and data, such data loss or corruption may negatively impact the accuracy, completeness, or integrity of financial transactions and data, thereby affecting the reliability of financial reporting."
MO-02,Data Backups,"Management maintains on-premise backups of [INSERT SYSTEM NAME] data daily (incremental) and weekly (full). Backup logs are reviewed weekly by the [INSERT ADMIN], and any failed backup is documented in an issue ticket.",TRUE,IT-dependent manual,Preventative,Weekly,"Backup Frequency; Backup Types; Backup Failure Resolution","The system is not purely SaaS and they manage backups themselves.","R-IT-08","There is a risk that inadequate or failed data backup processes may result in data loss or corruption during incidents such as system failures or disasters. Due to the critical nature and extensive reliance on technology and data, such data loss or corruption may negatively impact the accuracy, completeness, or integrity of financial transactions and data, thereby affecting the reliability of financial reporting."
MO-03,Backup Restoration Testing,"As a SaaS solution, [INSERT SYSTEM NAME] is responsible for all system and data backups. Management relies on [INSERT SYSTEM NAME]'s SOC 1 Type 2 report to gain assurance over [INSERT SYSTEM NAME]'s backup controls and related monitoring.",FALSE,IT-dependent manual,Detective,Ad-Hoc,"Backup Frequency; Backup Types; Backup Failure Resolution","Client clearly indicated that the system is a vendor managed product and the the vendor is in charge of storing/backing up data.","R-IT-08","There is a risk that inadequate or failed data backup processes may result in data loss or corruption during incidents such as system failures or disasters. Due to the critical nature and extensive reliance on technology and data, such data loss or corruption may negatively impact the accuracy, completeness, or integrity of financial transactions and data, thereby affecting the reliability of financial reporting."
MO-03,Backup Restoration Testing,"Quarterly, Management performs test restores of [INSERT SYSTEM NAME] backup data to validate the integrity and completeness of backup files. The restore process is documented in a ticket, including any anomalies and corrective actions. ",FALSE,IT-dependent manual,Detective,Quarterly,"Backup Frequency; Backup Types; Backup Failure Resolution","On-prem or hybrid environment that requires demonstration of backup integrity.","R-IT-08","There is a risk that inadequate or failed data backup processes may result in data loss or corruption during incidents such as system failures or disasters. Due to the critical nature and extensive reliance on technology and data, such data loss or corruption may negatively impact the accuracy, completeness, or integrity of financial transactions and data, thereby affecting the reliability of financial reporting."
ITELC-01,SOC Report Review,"Annually, [INSERT SYSTEM NAME]'s SOC 1 Type 2 report covering the [INSERT SYSTEM NAME] system is obtained and reviewed by [INSERT ADMIN] leadership and IT security personnel. The report is analyzed for exceptions, control gaps, testing exceptions and [INSERT SYSTEM NAME]'s documented remediation plans. [INSERT SYSTEM NAME] user entity controls are mapped to Management's internal controls to identify gaps requiring remediation. [INSERT SYSTEM NAME]'s key subservice organizations are identified and their SOC reports reviewed as needed by [INSERT SYSTEM NAME] vendor management.",TRUE,Manual,Detective,Annually,SOC report Review,"Process on SOC review process was described.","R-IT-08","There is a risk that service organizations may have material weaknesses or deficiencies within their internal control environment and therefore, the users control environment. This may impact the integrity of financial reporting." 
